측정일시,측정소명,초미세먼지(㎍/㎥),오존(ppm)
202003312300 ,종로구,22,0.036
202003312300 ,용산구,21,0.024
202003312300 ,중구,24,0.034
202003312300 ,은평구,18,0.047
202003312300 ,서대문구,21,0.047
202003312300 ,마포구,22,0.011
202003312300 ,광진구,24,0.021
202003312300 ,노원구,25,0.011
202003312300 ,중랑구,23,0.023
202003312300 ,도봉구,18,0.05
202003312300 ,성북구,21,0.024
202003312300 ,성동구,24,0.025
202003312300 ,강북구,23,0.037
202003312300 ,동대문구,17,0.039
202003312300 ,동작구,24,0.012
202003312300 ,영등포구,20,0.023
202003312300 ,강서구,20,0.023
202003312300 ,관악구,21,0.02
202003312300 ,양천구,20,0.026
202003312300 ,구로구,22,0.032
202003312300 ,금천구,23,0.002
202003312300 ,강남구,27,0.02
202003312300 ,서초구,25,0.032
202003312300 ,강동구,20,0.019
202003312300 ,송파구,23,0.02
202003312200 ,용산구,21,0.026
202003312200 ,중구,22,0.033
202003312200 ,종로구,21,0.038
202003312200 ,서대문구,19,0.048
202003312200 ,마포구,19,0.012
202003312200 ,은평구,20,0.049
202003312200 ,성북구,21,0.028
202003312200 ,강북구,22,0.04
202003312200 ,도봉구,18,0.052
202003312200 ,광진구,18,0.023
202003312200 ,노원구,23,0.031
202003312200 ,성동구,21,0.021
202003312200 ,중랑구,22,0.021
202003312200 ,동대문구,17,0.042
202003312200 ,강서구,20,0.025
202003312200 ,동작구,23,0.015
202003312200 ,영등포구,20,0.025
202003312200 ,구로구,14,0.035
202003312200 ,금천구,23,0.005
202003312200 ,양천구,20,0.021
202003312200 ,관악구,16,0.024
202003312200 ,강남구,21,0.021
202003312200 ,강동구,22,0.018
202003312200 ,서초구,20,0.033
202003312200 ,송파구,19,0.021
202003312100 ,종로구,22,0.032
202003312100 ,용산구,16,0.023
202003312100 ,중구,23,0.024
202003312100 ,은평구,22,0.047
202003312100 ,서대문구,19,0.048
202003312100 ,마포구,17,0.02
202003312100 ,중랑구,22,0.029
202003312100 ,동대문구,19,0.032
202003312100 ,성동구,20,0.028
202003312100 ,노원구,23,0.035
202003312100 ,도봉구,15,0.051
202003312100 ,성북구,19,0.028
202003312100 ,광진구,26,0.022
202003312100 ,강북구,20,0.046
202003312100 ,금천구,25,0.006
202003312100 ,영등포구,19,0.028
202003312100 ,강서구,20,0.033
202003312100 ,관악구,18,0.024
202003312100 ,구로구,14,0.037
202003312100 ,동작구,26,0.015
202003312100 ,양천구,17,0.025
202003312100 ,강남구,24,0.029
202003312100 ,서초구,17,0.039
202003312100 ,송파구,17,0.025
202003312100 ,강동구,20,0.022
202003312000 ,중구,22,0.03
202003312000 ,용산구,17,0.035
202003312000 ,종로구,24,0.026
202003312000 ,마포구,16,0.024
202003312000 ,은평구,24,0.029
202003312000 ,서대문구,21,0.029
202003312000 ,성동구,21,0.035
202003312000 ,동대문구,18,0.029
202003312000 ,성북구,19,0.037
202003312000 ,강북구,20,0.05
202003312000 ,광진구,22,0.028
202003312000 ,도봉구,19,0.053
202003312000 ,노원구,20,0.04
202003312000 ,중랑구,23,0.029
202003312000 ,관악구,19,0.028
202003312000 ,금천구,21,0.01
202003312000 ,영등포구,19,0.031
202003312000 ,구로구,16,0.034
202003312000 ,동작구,26,0.024
202003312000 ,강서구,18,0.029
202003312000 ,양천구,20,0.023
202003312000 ,강동구,23,0.031
202003312000 ,강남구,25,0.037
202003312000 ,서초구,21,0.044
202003312000 ,송파구,18,0.032
202003311900 ,중구,24,0.036
202003311900 ,용산구,22,0.035
202003311900 ,종로구,29,0.032
202003311900 ,마포구,20,0.037
202003311900 ,서대문구,23,0.041
202003311900 ,은평구,28,0.041
202003311900 ,성북구,17,0.042
202003311900 ,성동구,27,0.041
202003311900 ,도봉구,20,0.054
202003311900 ,노원구,27,0.041
202003311900 ,중랑구,28,0.04
202003311900 ,동대문구,20,0.047
202003311900 ,강북구,23,0.05
202003311900 ,광진구,25,0.034
202003311900 ,영등포구,22,0.039
202003311900 ,동작구,35,0.037
202003311900 ,관악구,23,0.037
202003311900 ,금천구,24,0.016
202003311900 ,강서구,19,0.038
202003311900 ,양천구,22,0.034
202003311900 ,구로구,23,0.042
202003311900 ,서초구,22,0.054
202003311900 ,강남구,32,0.045
202003311900 ,강동구,26,0.038
202003311900 ,송파구,22,0.034
202003311800 ,종로구,28,0.04
202003311800 ,용산구,24,0.048
202003311800 ,중구,29,0.042
202003311800 ,서대문구,25,0.048
202003311800 ,마포구,24,0.041
202003311800 ,은평구,30,0.054
202003311800 ,동대문구,23,0.047
202003311800 ,중랑구,31,0.047
202003311800 ,성북구,24,0.048
202003311800 ,노원구,38,0.052
202003311800 ,광진구,30,0.04
202003311800 ,도봉구,33,0.066
202003311800 ,성동구,31,0.048
202003311800 ,강북구,38,0.054
202003311800 ,영등포구,26,0.048
202003311800 ,양천구,28,0.04
202003311800 ,금천구,28,0.028
202003311800 ,강서구,23,0.048
202003311800 ,관악구,23,0.04
202003311800 ,동작구,35,0.035
202003311800 ,구로구,27,0.056
202003311800 ,강동구,30,0.04
202003311800 ,송파구,29,0.038
202003311800 ,서초구,31,0.054
202003311800 ,강남구,34,0.047
202003311700 ,중구,35,0.045
202003311700 ,용산구,32,0.046
202003311700 ,종로구,34,0.043
