측정소명,초미세먼지,오존
종로구,22,0.036
용산구,21,0.024
중구,24,0.034
은평구,18,0.047
서대문구,21,0.047
마포구,22,0.011
광진구,24,0.021
노원구,25,0.011
중랑구,23,0.023
도봉구,18,0.05
성북구,21,0.024
성동구,24,0.025
강북구,23,0.037
동대문구,17,0.039
동작구,24,0.012
영등포구,20,0.023
강서구,20,0.023
관악구,21,0.02
양천구,20,0.026
구로구,22,0.032
금천구,23,0.002
강남구,27,0.02
서초구,25,0.032
강동구,20,0.019
송파구,23,0.02
용산구,21,0.026
중구,22,0.033
종로구,21,0.038
서대문구,19,0.048
마포구,19,0.012
은평구,20,0.049
성북구,21,0.028
강북구,22,0.04
도봉구,18,0.052
광진구,18,0.023
노원구,23,0.031
성동구,21,0.021
중랑구,22,0.021
동대문구,17,0.042
강서구,20,0.025
동작구,23,0.015
영등포구,20,0.025
구로구,14,0.035
금천구,23,0.005
양천구,20,0.021
관악구,16,0.024
강남구,21,0.021
강동구,22,0.018
서초구,20,0.033
송파구,19,0.021
종로구,22,0.032
용산구,16,0.023
중구,23,0.024
은평구,22,0.047
서대문구,19,0.048
마포구,17,0.02
중랑구,22,0.029
동대문구,19,0.032
성동구,20,0.028
노원구,23,0.035
도봉구,15,0.051
성북구,19,0.028
광진구,26,0.022
강북구,20,0.046
금천구,25,0.006
영등포구,19,0.028
강서구,20,0.033
관악구,18,0.024
구로구,14,0.037
동작구,26,0.015
양천구,17,0.025
강남구,24,0.029
서초구,17,0.039
송파구,17,0.025
강동구,20,0.022
중구,22,0.03
용산구,17,0.035
종로구,24,0.026
마포구,16,0.024
은평구,24,0.029
서대문구,21,0.029
성동구,21,0.035
동대문구,18,0.029
성북구,19,0.037
강북구,20,0.05
광진구,22,0.028
도봉구,19,0.053
노원구,20,0.04
중랑구,23,0.029
관악구,19,0.028
금천구,21,0.01
영등포구,19,0.031
구로구,16,0.034
동작구,26,0.024
강서구,18,0.029
양천구,20,0.023
강동구,23,0.031
강남구,25,0.037
서초구,21,0.044
송파구,18,0.032
중구,24,0.036
용산구,22,0.035
종로구,29,0.032
마포구,20,0.037
서대문구,23,0.041
은평구,28,0.041
성북구,17,0.042
성동구,27,0.041
도봉구,20,0.054
노원구,27,0.041
중랑구,28,0.04
동대문구,20,0.047
강북구,23,0.05
광진구,25,0.034
영등포구,22,0.039
동작구,35,0.037
관악구,23,0.037
금천구,24,0.016
강서구,19,0.038
양천구,22,0.034
구로구,23,0.042
서초구,22,0.054
강남구,32,0.045
강동구,26,0.038
송파구,22,0.034
종로구,28,0.04
용산구,24,0.048
중구,29,0.042
서대문구,25,0.048
마포구,24,0.041
은평구,30,0.054
동대문구,23,0.047
중랑구,31,0.047
성북구,24,0.048
노원구,38,0.052
광진구,30,0.04
도봉구,33,0.066
성동구,31,0.048
강북구,38,0.054
영등포구,26,0.048
양천구,28,0.04
금천구,28,0.028
강서구,23,0.048
관악구,23,0.04
동작구,35,0.035
구로구,27,0.056
강동구,30,0.04
송파구,29,0.038
서초구,31,0.054
강남구,34,0.047
중구,35,0.045
용산구,32,0.046
종로구,34,0.043
은평구,35,0.059
마포구,29,0.041
서대문구,29,0.057
중랑구,36,0.042
도봉구,38,0.07
노원구,47,0.052
강북구,44,0.059
광진구,38,0.036
성북구,33,0.05
동대문구,31,0.05
성동구,43,0.046
구로구,29,0.051
금천구,31,0.038
