date,kospi,kospi_rate,fund,fund_rate,acc,acc_rate
2006-07-04,1285.92 ,-0.0067 ,10310356,0.0070 ,729681,0.0000 
2006-07-05,1279.85 ,-0.0047 ,10287766,-0.0022 ,729681,0.0000 
2006-07-06,1263.96 ,-0.0124 ,10181482,-0.0103 ,729681,0.0000 
2006-07-07,1273.93 ,0.0079 ,10231971,0.0050 ,729681,0.0000 
2006-07-10,1299.29 ,0.0199 ,10048253,-0.0180 ,729681,0.0000 
2006-07-11,1300.44 ,0.0009 ,10026915,-0.0021 ,729681,0.0000 
2006-07-12,1296.69 ,-0.0029 ,10130915,0.0104 ,729681,0.0000 
2006-07-13,1285.02 ,-0.0090 ,10718736,0.0580 ,729681,0.0000 
2006-07-14,1255.13 ,-0.0233 ,10384253,-0.0312 ,729681,0.0000 
2006-07-17,1255.13 ,0.0000 ,10384253,0.0000 ,729681,0.0000 
2006-07-18,1233.42 ,-0.0173 ,10212505,-0.0165 ,729681,0.0000 
2006-07-19,1233.65 ,0.0002 ,9895010,-0.0311 ,729681,0.0000 
2006-07-20,1273.30 ,0.0321 ,9766248,-0.0130 ,729681,0.0000 
2006-07-21,1271.33 ,-0.0015 ,9608217,-0.0162 ,729681,0.0000 
2006-07-24,1263.35 ,-0.0063 ,9664041,0.0058 ,729681,0.0000 
2006-07-25,1279.77 ,0.0130 ,9552190,-0.0116 ,729681,0.0000 
2006-07-26,1279.08 ,-0.0005 ,9425853,-0.0132 ,729681,0.0000 
2006-07-27,1296.27 ,0.0134 ,9595545,0.0180 ,729681,0.0000 
2006-07-28,1297.07 ,0.0006 ,9603186,0.0008 ,729681,0.0000 
2006-07-31,1297.82 ,0.0006 ,9719467,0.0121 ,775475,0.0628 
2006-08-01,1287.36 ,-0.0081 ,9663551,-0.0058 ,775475,0.0000 
2006-08-02,1295.11 ,0.0060 ,9693411,0.0031 ,775475,0.0000 
2006-08-03,1292.05 ,-0.0024 ,9695336,0.0002 ,775475,0.0000 
2006-08-04,1304.51 ,0.0096 ,9608539,-0.0090 ,775475,0.0000 
2006-08-07,1289.54 ,-0.0115 ,9564950,-0.0045 ,775475,0.0000 
2006-08-08,1311.10 ,0.0167 ,9577645,0.0013 ,775475,0.0000 
2006-08-09,1314.93 ,0.0029 ,9410858,-0.0174 ,775475,0.0000 
2006-08-10,1304.31 ,-0.0081 ,9517423,0.0113 ,775475,0.0000 
2006-08-11,1292.10 ,-0.0094 ,9606933,0.0094 ,775475,0.0000 
2006-08-14,1295.11 ,0.0023 ,9456843,-0.0156 ,775475,0.0000 
2006-08-15,1295.11 ,0.0000 ,9456843,0.0000 ,775475,0.0000 
2006-08-16,1315.61 ,0.0158 ,9467708,0.0011 ,775475,0.0000 
2006-08-17,1327.78 ,0.0093 ,9383891,-0.0089 ,775475,0.0000 
2006-08-18,1331.10 ,0.0025 ,9490010,0.0113 ,775475,0.0000 
2006-08-21,1321.67 ,-0.0071 ,9757658,0.0282 ,775475,0.0000 
2006-08-22,1334.96 ,0.0101 ,9788609,0.0032 ,775475,0.0000 
2006-08-23,1324.95 ,-0.0075 ,9722973,-0.0067 ,775475,0.0000 
2006-08-24,1315.73 ,-0.0070 ,9678847,-0.0045 ,775475,0.0000 
2006-08-25,1329.35 ,0.0104 ,9458985,-0.0227 ,775475,0.0000 
2006-08-28,1327.89 ,-0.0011 ,9350606,-0.0115 ,775475,0.0000 
2006-08-29,1344.61 ,0.0126 ,9384402,0.0036 ,775475,0.0000 
2006-08-30,1341.35 ,-0.0024 ,9415247,0.0033 ,775475,0.0000 
2006-08-31,1352.74 ,0.0085 ,9618528,0.0216 ,895804,0.1552 
2006-09-01,1356.67 ,0.0029 ,9437442,-0.0188 ,895804,0.0000 
2006-09-04,1359.06 ,0.0018 ,9729463,0.0309 ,895804,0.0000 
2006-09-05,1361.24 ,0.0016 ,9832306,0.0106 ,895804,0.0000 
2006-09-06,1357.01 ,-0.0031 ,9959833,0.0130 ,895804,0.0000 
2006-09-07,1351.17 ,-0.0043 ,9926000,-0.0034 ,895804,0.0000 
2006-09-08,1354.89 ,0.0028 ,9956627,0.0031 ,895804,0.0000 
2006-09-11,1334.08 ,-0.0154 ,9954698,-0.0002 ,895804,0.0000 
2006-09-12,1328.04 ,-0.0045 ,9977250,0.0023 ,895804,0.0000 
2006-09-13,1333.13 ,0.0038 ,10002760,0.0026 ,895804,0.0000 
2006-09-14,1358.75 ,0.0192 ,9748700,-0.0254 ,895804,0.0000 
2006-09-15,1361.10 ,0.0017 ,9755195,0.0007 ,895804,0.0000 
2006-09-18,1374.30 ,0.0097 ,9956395,0.0206 ,895804,0.0000 
2006-09-19,1373.95 ,-0.0003 ,9958677,0.0002 ,895804,0.0000 
2006-09-20,1366.44 ,-0.0055 ,10318996,0.0362 ,895804,0.0000 
2006-09-21,1366.79 ,0.0003 ,10134659,-0.0179 ,895804,0.0000 
2006-09-22,1348.38 ,-0.0135 ,9930393,-0.0202 ,895804,0.0000 
2006-09-25,1355.21 ,0.0051 ,9907936,-0.0023 ,895804,0.0000 
2006-09-26,1343.97 ,-0.0083 ,9749419,-0.0160 ,895804,0.0000 
2006-09-27,1360.03 ,0.0119 ,9595085,-0.0158 ,895804,0.0000 
2006-09-28,1371.43 ,0.0084 ,9357622,-0.0247 ,895804,0.0000 
2006-09-29,1371.41 ,-0.0000 ,9333554,-0.0026 ,895804,0.0000 
2006-10-02,1374.22 ,0.0020 ,9261338,-0.0077 ,1034234,0.1545 
2006-10-03,1374.22 ,0.0000 ,9261338,0.0000 ,1034234,0.0000 
2006-10-04,1352.00 ,-0.0162 ,9279292,0.0019 ,1034234,0.0000 
2006-10-05,1352.00 ,0.0000 ,9279292,0.0000 ,1034234,0.0000 
2006-10-06,1352.00 ,0.0000 ,9279292,0.0000 ,1034234,0.0000 
2006-10-09,1319.40 ,-0.0241 ,9792927,0.0554 ,1034234,0.0000 
2006-10-10,1328.37 ,0.0068 ,9878164,0.0087 ,1034234,0.0000 
2006-10-11,1325.49 ,-0.0022 ,10529813,0.0660 ,1034234,0.0000 
2006-10-12,1331.78 ,0.0047 ,10528580,-0.0001 ,1034234,0.0000 
2006-10-13,1348.60 ,0.0126 ,10247563,-0.0267 ,1034234,0.0000 
2006-10-16,1356.72 ,0.0060 ,10240896,-0.0007 ,1034234,0.0000 
2006-10-17,1351.30 ,-0.0040 ,10247166,0.0006 ,1034234,0.0000 
2006-10-18,1354.26 ,0.0022 ,10205882,-0.0040 ,1034234,0.0000 
2006-10-19,1354.06 ,-0.0001 ,10193466,-0.0012 ,1034234,0.0000 
2006-10-20,1364.24 ,0.0075 ,10190898,-0.0003 ,1034234,0.0000 
2006-10-23,1364.95 ,0.0005 ,10406832,0.0212 ,1034234,0.0000 
2006-10-24,1366.50 ,0.0011 ,10182353,-0.0216 ,1034234,0.0000 
2006-10-25,1371.43 ,0.0036 ,9972566,-0.0206 ,1034234,0.0000 
2006-10-26,1373.65 ,0.0016 ,9870171,-0.0103 ,1034234,0.0000 
2006-10-27,1369.09 ,-0.0033 ,9661894,-0.0211 ,1034234,0.0000 
2006-10-30,1356.11 ,-0.0095 ,9766772,0.0109 ,1034234,0.0000 
2006-10-31,1364.55 ,0.0062 ,9614849,-0.0156 ,1161630,0.1232 
2006-11-01,1374.35 ,0.0072 ,9641897,0.0028 ,1161630,0.0000 
2006-11-02,1383.73 ,0.0068 ,9460571,-0.0188 ,1161630,0.0000 
2006-11-03,1383.88 ,0.0001 ,9399992,-0.0064 ,1161630,0.0000 
2006-11-06,1379.19 ,-0.0034 ,9498686,0.0105 ,1161630,0.0000 
2006-11-07,1387.44 ,0.0060 ,9613788,0.0121 ,1161630,0.0000 
2006-11-08,1380.07 ,-0.0053 ,9470637,-0.0149 ,1161630,0.0000 
2006-11-09,1399.44 ,0.0140 ,9464381,-0.0007 ,1161630,0.0000 
2006-11-10,1395.73 ,-0.0027 ,9435611,-0.0030 ,1161630,0.0000 
2006-11-13,1396.69 ,0.0007 ,9574662,0.0147 ,1161630,0.0000 
2006-11-14,1407.37 ,0.0076 ,9550997,-0.0025 ,1161630,0.0000 
2006-11-15,1412.54 ,0.0037 ,9527518,-0.0025 ,1161630,0.0000 
2006-11-16,1410.75 ,-0.0013 ,9474055,-0.0056 ,1161630,0.0000 
2006-11-17,1412.22 ,0.0010 ,9365972,-0.0114 ,1161630,0.0000 
2006-11-20,1402.21 ,-0.0071 ,9429451,0.0068 ,1161630,0.0000 
2006-11-21,1405.90 ,0.0026 ,9457364,0.0030 ,1161630,0.0000 
2006-11-22,1422.54 ,0.0118 ,9440849,-0.0017 ,1161630,0.0000 
2006-11-23,1419.23 ,-0.0023 ,9681539,0.0255 ,1161630,0.0000 
2006-11-24,1421.73 ,0.0018 ,9331043,-0.0362 ,1161630,0.0000 
2006-11-27,1425.13 ,0.0024 ,9342179,0.0012 ,1161630,0.0000 
2006-11-28,1411.47 ,-0.0096 ,9475087,0.0142 ,1161630,0.0000 
2006-11-29,1422.55 ,0.0078 ,9581705,0.0113 ,1161630,0.0000 
2006-11-30,1432.21 ,0.0068 ,9337799,-0.0255 ,1306174,0.1244 
2006-12-01,1434.36 ,0.0015 ,9223637,-0.0122 ,1306174,0.0000 
2006-12-04,1426.46 ,-0.0055 ,9343303,0.0130 ,1306174,0.0000 
2006-12-05,1420.59 ,-0.0041 ,9471057,0.0137 ,1306174,0.0000 
2006-12-06,1413.73 ,-0.0048 ,9382202,-0.0094 ,1306174,0.0000 
2006-12-07,1410.30 ,-0.0024 ,9335139,-0.0050 ,1306174,0.0000 
2006-12-08,1390.43 ,-0.0141 ,9405837,0.0076 ,1306174,0.0000 
2006-12-11,1390.73 ,0.0002 ,9512972,0.0114 ,1306174,0.0000 
2006-12-12,1376.98 ,-0.0099 ,9505412,-0.0008 ,1306174,0.0000 
2006-12-13,1383.28 ,0.0046 ,9483603,-0.0023 ,1306174,0.0000 
2006-12-14,1418.38 ,0.0254 ,9404457,-0.0083 ,1306174,0.0000 
2006-12-15,1421.87 ,0.0025 ,9284279,-0.0128 ,1306174,0.0000 
2006-12-18,1433.23 ,0.0080 ,9404238,0.0129 ,1306174,0.0000 
2006-12-19,1427.76 ,-0.0038 ,9442893,0.0041 ,1306174,0.0000 
2006-12-20,1442.28 ,0.0102 ,9402736,-0.0043 ,1306174,0.0000 
2006-12-21,1436.47 ,-0.0040 ,9286889,-0.0123 ,1306174,0.0000 
2006-12-22,1437.49 ,0.0007 ,9264653,-0.0024 ,1306174,0.0000 
2006-12-25,1437.49 ,0.0000 ,9264653,0.0000 ,1306174,0.0000 
2006-12-26,1433.92 ,-0.0025 ,9185173,-0.0086 ,1306174,0.0000 
2006-12-27,1425.10 ,-0.0062 ,9283870,0.0107 ,1306174,0.0000 
2006-12-28,1434.46 ,0.0066 ,8961207,-0.0348 ,1306174,0.0000 
2006-12-29,1434.46 ,0.0000 ,8448888,-0.0572 ,1446687,0.1076 
2007-01-01,1434.46 ,0.0000 ,8448888,0.0000 ,1446687,0.0000 
2007-01-02,1435.26 ,0.0006 ,8561691,0.0134 ,1446687,0.0000 
2007-01-03,1409.35 ,-0.0181 ,8918052,0.0416 ,1446687,0.0000 
2007-01-04,1397.29 ,-0.0086 ,8942186,0.0027 ,1446687,0.0000 
2007-01-05,1385.76 ,-0.0083 ,8923076,-0.0021 ,1446687,0.0000 
2007-01-08,1370.81 ,-0.0108 ,8870678,-0.0059 ,1446687,0.0000 
2007-01-09,1374.34 ,0.0026 ,8753841,-0.0132 ,1446687,0.0000 
2007-01-10,1355.79 ,-0.0135 ,8879364,0.0143 ,1446687,0.0000 
2007-01-11,1365.31 ,0.0070 ,8797900,-0.0092 ,1446687,0.0000 
2007-01-12,1388.37 ,0.0169 ,8658988,-0.0158 ,1446687,0.0000 
2007-01-15,1390.96 ,0.0019 ,8700393,0.0048 ,1446687,0.0000 
2007-01-16,1389.71 ,-0.0009 ,8611930,-0.0102 ,1446687,0.0000 
2007-01-17,1379.48 ,-0.0074 ,8622517,0.0012 ,1446687,0.0000 
2007-01-18,1383.21 ,0.0027 ,8641341,0.0022 ,1446687,0.0000 
2007-01-19,1360.56 ,-0.0164 ,8573496,-0.0079 ,1446687,0.0000 
2007-01-22,1363.41 ,0.0021 ,8652673,0.0092 ,1446687,0.0000 
2007-01-23,1363.09 ,-0.0002 ,8764622,0.0129 ,1446687,0.0000 
2007-01-24,1383.06 ,0.0147 ,8704154,-0.0069 ,1446687,0.0000 
2007-01-25,1382.36 ,-0.0005 ,8527556,-0.0203 ,1446687,0.0000 
2007-01-26,1371.33 ,-0.0080 ,8533001,0.0006 ,1446687,0.0000 
2007-01-29,1363.10 ,-0.0060 ,8654433,0.0142 ,1446687,0.0000 
2007-01-30,1370.72 ,0.0056 ,8664788,0.0012 ,1446687,0.0000 
2007-01-31,1360.23 ,-0.0077 ,8535821,-0.0149 ,1667187,0.1524 
2007-02-01,1382.90 ,0.0167 ,8571741,0.0042 ,1667187,0.0000 
2007-02-02,1413.14 ,0.0219 ,8337621,-0.0273 ,1667187,0.0000 
2007-02-05,1417.95 ,0.0034 ,8417164,0.0095 ,1667187,0.0000 
2007-02-06,1428.58 ,0.0075 ,8751751,0.0398 ,1667187,0.0000 
2007-02-07,1426.29 ,-0.0016 ,8931063,0.0205 ,1667187,0.0000 
2007-02-08,1423.58 ,-0.0019 ,8999996,0.0077 ,1667187,0.0000 
2007-02-09,1427.68 ,0.0029 ,9011650,0.0013 ,1667187,0.0000 
2007-02-12,1414.29 ,-0.0094 ,8999008,-0.0014 ,1667187,0.0000 
2007-02-13,1418.44 ,0.0029 ,9111547,0.0125 ,1667187,0.0000 
2007-02-14,1436.10 ,0.0125 ,8935708,-0.0193 ,1667187,0.0000 
2007-02-15,1443.63 ,0.0052 ,8777079,-0.0178 ,1667187,0.0000 
2007-02-16,1448.81 ,0.0036 ,8814831,0.0043 ,1667187,0.0000 
2007-02-19,1448.81 ,0.0000 ,8814831,0.0000 ,1667187,0.0000 
2007-02-20,1452.96 ,0.0029 ,8989629,0.0198 ,1667187,0.0000 
2007-02-21,1451.38 ,-0.0011 ,9157838,0.0187 ,1667187,0.0000 
2007-02-22,1465.41 ,0.0097 ,9160431,0.0003 ,1667187,0.0000 
2007-02-23,1469.88 ,0.0031 ,9121800,-0.0042 ,1667187,0.0000 
2007-02-26,1470.03 ,0.0001 ,9383486,0.0287 ,1667187,0.0000 
2007-02-27,1454.60 ,-0.0105 ,9459136,0.0081 ,1667187,0.0000 
2007-02-28,1417.34 ,-0.0256 ,9736895,0.0294 ,1889622,0.1334 
2007-03-01,1417.34 ,0.0000 ,9736895,0.0000 ,1889622,0.0000 
2007-03-02,1414.47 ,-0.0020 ,9696170,-0.0042 ,1889622,0.0000 
2007-03-05,1376.15 ,-0.0271 ,9485713,-0.0217 ,1889622,0.0000 
2007-03-06,1402.93 ,0.0195 ,9450447,-0.0037 ,1889622,0.0000 
2007-03-07,1410.95 ,0.0057 ,9282527,-0.0178 ,1889622,0.0000 
2007-03-08,1423.89 ,0.0092 ,9140734,-0.0153 ,1889622,0.0000 
2007-03-09,1423.58 ,-0.0002 ,9140505,-0.0000 ,1889622,0.0000 
2007-03-12,1441.33 ,0.0125 ,9155389,0.0016 ,1889622,0.0000 
