date,usd,usd_rate
2006-07-03,944.85,-0.0041
2006-07-04,943.35,-0.0016
2006-07-05,946.8,0.0037
2006-07-06,949.4,0.0027
2006-07-07,947.85,-0.0016
2006-07-10,941.95,-0.0062
2006-07-11,946.75,0.0051
2006-07-12,948.8,0.0022
2006-07-13,949.25,0.0005
2006-07-14,953.8,0.0048
2006-07-17,953.9,0.0001
2006-07-18,958.6,0.0049
2006-07-19,957.85,-0.0008
2006-07-20,951.9,-0.0062
2006-07-21,949.9,-0.0021
2006-07-24,951.8,0.002
2006-07-25,952.15,0.0004
2006-07-26,954.6,0.0026
2006-07-27,952.25,-0.0025
2006-07-28,953.85,0.0017
2006-07-31,955.15,0.0014
2006-08-01,955.95,0.0008
2006-08-02,962.25,0.0066
2006-08-03,965.75,0.0036
2006-08-04,964.75,-0.001
2006-08-07,962.6,-0.0022
2006-08-08,963.65,0.0011
2006-08-09,959.4,-0.0044
2006-08-10,957.8,-0.0017
2006-08-11,961.75,0.0041
2006-08-14,965.7,0.0041
2006-08-15,965.75,0.0001
2006-08-16,965.15,-0.0006
2006-08-17,960.95,-0.0044
2006-08-18,958.55,-0.0025
2006-08-21,956.55,-0.0021
2006-08-22,956.4,-0.0002
2006-08-23,955.6,-0.0008
2006-08-24,959.2,0.0038
2006-08-25,961.95,0.0029
2006-08-28,964,0.0021
2006-08-29,961.05,-0.0031
2006-08-30,961.25,0.0002
2006-08-31,961.3,0.0001
2006-09-01,960.55,-0.0008
2006-09-04,957.85,-0.0028
2006-09-05,956.65,-0.0013
2006-09-06,957.05,0.0004
2006-09-07,956.3,-0.0008
2006-09-08,956.3,0
2006-09-11,957.5,0.0013
2006-09-12,959.4,0.002
2006-09-13,959.05,-0.0004
2006-09-14,957.6,-0.0015
2006-09-15,956.35,-0.0013
2006-09-18,956.4,0.0001
2006-09-19,952.1,-0.0045
2006-09-20,950.85,-0.0013
2006-09-21,944.2,-0.007
2006-09-22,946.75,0.0027
2006-09-25,944,-0.0029
2006-09-26,944.1,0.0001
2006-09-27,943.65,-0.0005
2006-09-28,944.75,0.0012
2006-09-29,946.25,0.0016
2006-10-02,948.05,0.0019
2006-10-03,948,-0.0001
2006-10-04,949.2,0.0013
2006-10-05,949.2,0
2006-10-06,949.2,0
2006-10-09,963.8,0.0154
2006-10-10,959.6,-0.0044
2006-10-11,958.2,-0.0015
2006-10-12,957.9,-0.0003
2006-10-13,955.1,-0.0029
2006-10-16,955.4,0.0003
2006-10-17,954.3,-0.0012
2006-10-18,955.35,0.0011
2006-10-19,957.25,0.002
2006-10-20,957.4,0.0002
2006-10-23,959.45,0.0021
2006-10-24,958.45,-0.001
2006-10-25,955.8,-0.0028
2006-10-26,949.8,-0.0063
2006-10-27,947.3,-0.0026
2006-10-30,944.65,-0.0028
2006-10-31,942.25,-0.0025
2006-11-01,939.35,-0.0031
2006-11-02,938.95,-0.0004
2006-11-03,937.15,-0.0019
2006-11-06,942.3,0.0055
2006-11-07,938.35,-0.0042
2006-11-08,935.15,-0.0034
2006-11-09,936.6,0.0016
2006-11-10,934.05,-0.0027
2006-11-13,935.1,0.0011
2006-11-14,937,0.002
2006-11-15,941.4,0.0047
2006-11-16,937.6,-0.004
2006-11-17,938.95,0.0014
2006-11-20,935.5,-0.0037
2006-11-21,935.4,-0.0001
2006-11-22,934,-0.0015
2006-11-23,930.45,-0.0038
2006-11-24,932.15,0.0018
2006-11-27,930.7,-0.0016
2006-11-28,930.85,0.0002
2006-11-29,930.65,-0.0002
2006-11-30,929.35,-0.0014
2006-12-01,928.55,-0.0009
2006-12-04,927.5,-0.0011
2006-12-05,924.3,-0.0035
2006-12-06,916.2,-0.0088
2006-12-07,913.9,-0.0025
2006-12-08,920.2,0.0069
2006-12-11,925.8,0.0061
2006-12-12,922.55,-0.0035
2006-12-13,922.5,-0.0001
2006-12-14,921.25,-0.0014
2006-12-15,923.1,0.002
2006-12-18,927.2,0.0044
2006-12-19,932.05,0.0052
2006-12-20,926,-0.0065
2006-12-21,927.5,0.0016
2006-12-22,928.65,0.0012
2006-12-25,928.65,0
2006-12-26,929.85,0.0013
2006-12-27,930.5,0.0007
2006-12-28,929.75,-0.0008
2006-12-29,930,0.0003
2007-01-01,930,0
2007-01-02,925.65,-0.0047
2007-01-03,926.15,0.0005
2007-01-04,931.35,0.0056
2007-01-05,934.45,0.0033
2007-01-08,938.1,0.0039
2007-01-09,938.6,0.0005
2007-01-10,937.85,-0.0008
2007-01-11,938.95,0.0012
2007-01-12,940.05,0.0012
2007-01-15,938.5,-0.0016
2007-01-16,935.55,-0.0031
2007-01-17,936.9,0.0014
2007-01-18,936.7,-0.0002
2007-01-19,936.4,-0.0003
2007-01-22,940.2,0.0041
2007-01-23,940.25,0.0001
2007-01-24,936.1,-0.0044
2007-01-25,936.05,-0.0001
2007-01-26,940.65,0.0049
2007-01-29,940.4,-0.0003
2007-01-30,942.7,0.0024
2007-01-31,941.5,-0.0013
2007-02-01,937.05,-0.0047
2007-02-02,937.25,0.0002
2007-02-05,935.8,-0.0015
2007-02-06,933,-0.003
2007-02-07,933.65,0.0007
2007-02-08,935.05,0.0015
2007-02-09,934.6,-0.0005
2007-02-12,937.7,0.0033
2007-02-13,939.6,0.002
