date,wti_rate
2006-06-30,0.0056
2006-07-05,0.017
2006-07-06,-0.0007
2006-07-07,-0.014
2006-07-10,-0.0065
2006-07-11,0.0075
2006-07-12,0.0107
2006-07-13,0.0233
2006-07-14,0.0043
2006-07-17,-0.0225
2006-07-18,-0.0234
2006-07-19,-0.012
2006-07-20,0.0058
2006-07-21,0.0185
2006-07-24,0.0083
2006-07-25,-0.0173
2006-07-26,0.0026
2006-07-27,0.0081
2006-07-28,-0.0174
2006-07-31,0.0158
2006-08-01,0.0069
2006-08-02,0.012
2006-08-03,-0.0046
2006-08-04,-0.0093
2006-08-07,0.0297
2006-08-08,-0.0087
2006-08-09,0.0005
2006-08-10,-0.0308
2006-08-11,0.0047
2006-08-14,-0.011
2006-08-15,-0.0065
2006-08-16,-0.0159
2006-08-17,-0.0255
2006-08-18,0.0154
2006-08-21,0.0184
2006-08-22,0.0025
2006-08-23,-0.012
2006-08-24,0.0084
2006-08-25,0.0021
2006-08-28,-0.0262
2006-08-29,-0.0127
2006-08-30,0.0046
2006-08-31,0.0033
2006-09-01,-0.0152
2006-09-05,-0.0085
2006-09-06,-0.016
2006-09-07,-0.0027
2006-09-08,-0.0159
2006-09-11,-0.0097
2006-09-12,-0.0282
2006-09-13,0.0033
2006-09-14,-0.0117
2006-09-15,0.0017
2006-09-18,0.0074
2006-09-19,-0.0335
2006-09-20,-0.0195
2006-09-21,0.0187
2006-09-22,-0.0169
2006-09-25,0.0149
2006-09-26,-0.0072
2006-09-27,0.032
2006-09-28,-0.0032
2006-09-29,0.0024
2006-10-02,-0.0299
2006-10-03,-0.0385
2006-10-04,0.0124
2006-10-05,0.0104
2006-10-06,-0.0045
2006-10-09,0.0033
2006-10-10,-0.024
2006-10-11,-0.0159
2006-10-12,0.0047
2006-10-13,0.0123
2006-10-16,0.0234
2006-10-17,-0.0169
2006-10-18,-0.0217
2006-10-19,0.0147
2006-10-20,-0.0287
2006-10-23,0.035
2006-10-24,0.0092
2006-10-25,0.0345
2006-10-26,-0.0169
2006-10-27,0.0065
2006-10-30,-0.0393
2006-10-31,0.0063
2006-11-01,-0.0003
2006-11-02,-0.0141
2006-11-03,0.0218
2006-11-06,0.0149
2006-11-07,-0.0182
2006-11-08,0.0153
2006-11-09,0.0222
2006-11-10,-0.0257
2006-11-13,-0.0169
2006-11-14,-0.0051
2006-11-15,0.0082
2006-11-16,-0.0425
2006-11-17,-0.008
2006-11-20,0.0536
2006-11-21,0.0233
2006-11-22,-0.0155
2006-11-27,0.0182
2006-11-28,0.0111
2006-11-29,0.0241
2006-11-30,0.0107
2006-12-01,0.0048
2006-12-04,-0.0156
2006-12-05,-0.0002
2006-12-06,-0.0038
2006-12-07,0.0048
2006-12-08,-0.0074
2006-12-11,-0.0131
2006-12-12,-0.0033
2006-12-13,0.0057
2006-12-14,0.0186
2006-12-15,0.0147
2006-12-18,-0.0192
2006-12-19,0.0151
2006-12-20,0.009
2006-12-21,-0.0166
2006-12-22,-0.004
2006-12-26,-0.021
2006-12-27,-0.0124
2006-12-28,0.0031
2006-12-29,0.0086
2007-01-02,0
2007-01-03,-0.0447
2007-01-04,-0.0468
2007-01-05,0.013
2007-01-08,-0.0039
2007-01-09,-0.008
2007-01-10,-0.0291
2007-01-11,-0.0396
2007-01-12,0.0214
2007-01-16,-0.0336
2007-01-17,0.0201
2007-01-18,-0.0337
2007-01-19,0.0299
2007-01-22,-0.0165
2007-01-23,0.0765
2007-01-24,0.006
2007-01-25,-0.0206
2007-01-26,0.0219
2007-01-29,-0.0254
2007-01-30,0.0548
2007-01-31,0.0205
2007-02-01,-0.0144
2007-02-02,0.03
2007-02-05,-0.0047
2007-02-06,0.0024
2007-02-07,-0.0199
2007-02-08,0.0347
2007-02-09,0.003
2007-02-12,-0.0347
2007-02-13,0.0216
2007-02-14,-0.0179
2007-02-15,-0.0002
2007-02-16,0.0241
2007-02-20,-0.0222
2007-02-21,0.0344
