date,open,high,low,close,volume
2008-08-08,11432.09 ,11759.96 ,11388.04 ,11734.32 ,212830000.00 
2008-08-11,11729.67 ,11867.11 ,11675.53 ,11782.35 ,183190000.00 
2008-08-12,11781.70 ,11782.35 ,11601.52 ,11642.47 ,173590000.00 
2008-08-13,11632.81 ,11633.78 ,11453.34 ,11532.96 ,182550000.00 
2008-08-14,11532.07 ,11718.28 ,11450.89 ,11615.93 ,159790000.00 
2008-08-15,11611.21 ,11709.89 ,11599.73 ,11659.90 ,215040000.00 
2008-08-18,11659.65 ,11690.43 ,11434.12 ,11479.39 ,156290000.00 
2008-08-19,11478.09 ,11478.17 ,11318.50 ,11348.55 ,171580000.00 
2008-08-20,11345.94 ,11454.15 ,11290.58 ,11417.43 ,144880000.00 
2008-08-21,11415.23 ,11476.21 ,11315.57 ,11430.21 ,130020000.00 
2008-08-22,11426.79 ,11632.13 ,11426.79 ,11628.06 ,138790000.00 
2008-08-25,11626.19 ,11626.27 ,11362.63 ,11386.25 ,148610000.00 
2008-08-26,11383.56 ,11436.24 ,11340.41 ,11412.87 ,119800000.00 
2008-08-27,11412.46 ,11554.46 ,11381.77 ,11502.51 ,120580000.00 
2008-08-28,11499.87 ,11715.18 ,11499.79 ,11715.18 ,149150000.00 
2008-08-29,11713.23 ,11713.23 ,11543.39 ,11543.96 ,166910000.00 
2008-09-02,11545.63 ,11790.17 ,11471.90 ,11516.92 ,177090000.00 
2008-09-03,11506.01 ,11554.38 ,11416.53 ,11532.88 ,174250000.00 
2008-09-04,11532.48 ,11532.48 ,11176.02 ,11188.23 ,229200000.00 
2008-09-05,11185.63 ,11245.15 ,11037.85 ,11220.96 ,198300000.00 
2008-09-08,11224.87 ,11570.66 ,11224.79 ,11510.74 ,273000000.00 
2008-09-09,11514.73 ,11577.50 ,11230.73 ,11230.73 ,257300000.00 
2008-09-10,11233.91 ,11380.63 ,11215.26 ,11268.92 ,214260000.00 
2008-09-11,11264.44 ,11445.68 ,11098.67 ,11433.71 ,247820000.00 
2008-09-12,11429.32 ,11459.93 ,11280.40 ,11421.99 ,238890000.00 
2008-09-15,11416.37 ,11416.45 ,10917.51 ,10917.51 ,432970000.00 
2008-09-16,10905.62 ,11093.22 ,10742.70 ,11059.02 ,494760000.00 
2008-09-17,11056.58 ,11057.31 ,10595.90 ,10609.66 ,463200000.00 
2008-09-18,10609.01 ,11076.44 ,10459.44 ,11019.69 ,488060000.00 
2008-09-19,11027.51 ,11483.05 ,11026.70 ,11388.44 ,655110000.00 
2008-09-22,11394.42 ,11394.58 ,10992.20 ,11015.69 ,213210000.00 
2008-09-23,11015.69 ,11143.21 ,10833.94 ,10854.17 ,204480000.00 
2008-09-24,10850.02 ,10928.40 ,10753.57 ,10825.17 ,183630000.00 
2008-09-25,10827.17 ,11129.19 ,10827.01 ,11022.06 ,218530000.00 
2008-09-26,11019.04 ,11168.06 ,10868.82 ,11143.13 ,232560000.00 
2008-09-29,11139.62 ,11139.94 ,10365.45 ,10365.45 ,385940000.00 
2008-09-30,10371.58 ,10868.90 ,10371.42 ,10850.66 ,319770000.00 
2008-10-01,10847.40 ,10882.52 ,10631.95 ,10831.07 ,256670000.00 
2008-10-02,10825.54 ,10825.54 ,10439.52 ,10482.85 ,395330000.00 
2008-10-03,10483.96 ,10796.26 ,10310.25 ,10325.38 ,299690000.00 
2008-10-06,10322.52 ,10322.76 ,9525.32 ,9955.50 ,391460000.00 
2008-10-07,9955.42 ,10124.03 ,9436.67 ,9447.11 ,362520000.00 
2008-10-08,9437.23 ,9628.07 ,9194.78 ,9258.10 ,479270000.00 
2008-10-09,9261.69 ,9448.14 ,8579.19 ,8579.19 ,436740000.00 
2008-10-10,8568.67 ,8901.28 ,7882.51 ,8451.19 ,674920000.00 
2008-10-13,8462.42 ,9427.99 ,8462.18 ,9387.61 ,399290000.00 
2008-10-14,9388.97 ,9794.37 ,9085.43 ,9310.99 ,412740000.00 
2008-10-15,9301.91 ,9308.76 ,8530.12 ,8577.91 ,374350000.00 
2008-10-16,8577.04 ,9013.27 ,8197.67 ,8979.26 ,422450000.00 
2008-10-17,8975.35 ,9281.12 ,8718.25 ,8852.22 ,360600000.00 
2008-10-20,8852.30 ,9266.63 ,8852.22 ,9265.43 ,241400000.00 
2008-10-21,9262.80 ,9284.55 ,9004.27 ,9033.66 ,231160000.00 
2008-10-22,9027.84 ,9027.84 ,8335.30 ,8519.21 ,348840000.00 
2008-10-23,8519.77 ,8795.99 ,8243.55 ,8691.25 ,340740000.00 
2008-10-24,8683.21 ,8683.21 ,8187.48 ,8378.95 ,335680000.00 
2008-10-27,8375.92 ,8599.10 ,8143.59 ,8175.77 ,281180000.00 
2008-10-28,8178.72 ,9082.08 ,8174.73 ,9065.12 ,372160000.00 
2008-10-29,9062.33 ,9363.32 ,8890.29 ,8990.96 ,316230000.00 
2008-10-30,9004.66 ,9266.47 ,8976.87 ,9180.69 ,267210000.00 
2008-10-31,9179.09 ,9454.36 ,9119.20 ,9325.01 ,310950000.00 
2008-11-03,9326.04 ,9410.55 ,9255.48 ,9319.83 ,180970000.00 
2008-11-04,9323.89 ,9653.95 ,9323.89 ,9625.28 ,254930000.00 
2008-11-05,9616.60 ,9616.60 ,9111.47 ,9139.27 ,264640000.00 
2008-11-06,9134.01 ,9155.44 ,8637.17 ,8695.79 ,344350000.00 
2008-11-07,8696.03 ,8961.57 ,8696.03 ,8943.81 ,246300000.00 
2008-11-10,8946.60 ,9159.58 ,8760.46 ,8870.54 ,221230000.00 
2008-11-11,8864.32 ,8867.91 ,8560.71 ,8693.96 ,257270000.00 
2008-11-12,8684.52 ,8684.60 ,8265.29 ,8282.66 ,314660000.00 
2008-11-13,8281.14 ,8876.59 ,7965.42 ,8835.25 ,476600000.00 
2008-11-14,8822.19 ,8923.18 ,8469.99 ,8497.31 ,304370000.00 
2008-11-17,8494.84 ,8571.30 ,8246.89 ,8273.58 ,278220000.00 
2008-11-18,8273.34 ,8477.95 ,8105.44 ,8424.75 ,366390000.00 
2008-11-19,8420.69 ,8504.64 ,7987.08 ,7997.28 ,350470000.00 
2008-11-20,7995.53 ,8187.40 ,7506.97 ,7552.29 ,528130000.00 
2008-11-21,7552.37 ,8071.75 ,7449.38 ,8046.42 ,569010000.00 
2008-11-24,8048.09 ,8599.02 ,8048.09 ,8443.39 ,491890000.00 
2008-11-25,8445.14 ,8607.38 ,8281.46 ,8479.47 ,374020000.00 
2008-11-26,8464.49 ,8726.61 ,8311.17 ,8726.61 ,283920000.00 
2008-11-28,8724.70 ,8831.35 ,8672.69 ,8829.04 ,155510000.00 
2008-12-01,8826.89 ,8827.05 ,8141.36 ,8149.09 ,321010000.00 
2008-12-02,8153.75 ,8437.17 ,8143.51 ,8419.09 ,307520000.00 
2008-12-03,8409.14 ,8624.19 ,8234.15 ,8591.69 ,294680000.00 
2008-12-04,8587.07 ,8631.99 ,8259.40 ,8376.24 ,280880000.00 
2008-12-05,8376.08 ,8686.47 ,8118.50 ,8635.42 ,346370000.00 
2008-12-08,8637.65 ,9026.41 ,8637.49 ,8934.18 ,358970000.00 
2008-12-09,8934.10 ,8934.10 ,8651.74 ,8691.33 ,284950000.00 
